id,title,original_title,overview,adult,original_language,popularity,release_date,vote_average,vote_count
1202033,Enola Holmes 3,Enola Holmes 3,"Adventure follows detective Enola Holmes to Malta, where her plans to tie the knot unravel when Sherlock's disappearance plunges her into a perilous case.",False,en,116.1365,2026-06-30,7.6,50
1339713,Obsession,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",False,en,609.353,2026-05-13,8.136,1430
1315772,Minions & Monsters,Minions & Monsters,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",False,en,148.9936,2026-06-24,6.8,45
1314481,The Devil Wears Prada 2,The Devil Wears Prada 2,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",False,en,202.6534,2026-04-29,6.811,1035
1081003,Supergirl,Supergirl,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.",False,en,270.0264,2026-06-24,6.238,294
1108427,Moana,Moana,"Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with the infamous demigod Maui on an unforgettable journey to restore prosperity to her people.",False,en,38.2505,2026-07-08,0.0,0
1083381,Backrooms,Backrooms,A strange doorway appears in the basement of a furniture showroom.,False,en,511.9282,2026-05-27,6.842,809
1368337,The Odyssey,The Odyssey,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",False,en,42.654,2026-07-15,0.0,0
1084244,Toy Story 5,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",False,en,538.9499,2026-06-17,7.4,405
969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,False,en,80.1716,2026-07-29,0.0,0
1413976,Citizen Vigilante,Citizen Vigilante,"A man takes justice into his own hands, hunting down criminals. His vigilante crusade makes him a social media star but puts him at odds with the local police chief.",False,en,221.2655,2026-06-19,6.7,150
1397385,Little Brother,Little Brother,"A tightly wound realtor's picture-perfect life gets an extreme makeover when his lovably chaotic ""little brother"" suddenly reappears.",False,en,140.5651,2026-06-18,6.237,135
